QuantitySold,Price,isPromoPeriod,TV,Online,StoresAvailability,Product_TXQQX,Product_TXQT7,Product_TXQTZ,Product_TXX00,Product_TXX06,Product_TXX5Q,Product_TXXX0,Product_TXZ06,Product_TZQAQ,Channel_B,Channel_C,Channel_D,Channel_E,Channel_F,Month_2,Month_3,Month_4,Month_5,Month_6,Month_7,Month_8,Month_9,Month_10,Month_11,Month_12
23686,2.305112904985268,True,0.0,0.0,0.63,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
56,6.48913043478261,False,0.0,0.0,0.28,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
520,2.147203791469197,True,0.0,0.0,0.66,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
7504,3.60886363636364,True,0.0,0.0,0.01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
8826,2.6360481789503902,True,92702.15,0.0,0.01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
56,3.9911111111111097,True,122981.07,0.0,0.19,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40,12.9909090909091,False,117052.52,12668.406,0.19,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
22251,3.003837847006276,True,0.0,0.0,0.92,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
199,3.487354838709678,True,0.0,0.0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12721,4.79469464063149,True,0.0,0.0,0.84,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13122,4.202440177252591,True,0.0,0.0,0.84,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
6047,3.61405262084438,True,0.0,0.0,0.01,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
142,3.519101123595504,True,0.0,0.0,0.53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
191,3.205294117647057,True,0.0,0.0,0.6,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
12383,4.502738275340396,True,0.0,79511.04000000001,0.87,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
194,1.853312101910829,True,161356.58,33281.577000000005,0.75,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
3,4.0,False,0.0,0.0,0.03,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32484,3.4499659219992407,False,0.0,0.0,0.43,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,5.59855072463768,False,0.0,0.0,0.35,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15805,4.476753135200136,True,0.0,0.0,0.92,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,2.022808988764044,True,164274.65,0.0,0.69,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
16046,4.569157254561255,True,0.0,0.0,0.88,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
17497,4.788767123287672,True,0.0,0.0,0.93,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119,4.033548387096777,True,0.0,0.0,0.63,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13870,10.660789473684211,True,0.0,0.0,0.7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16943,4.800149333333325,True,0.0,0.0,0.94,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
7766,3.38991732857838,True,92702.15,0.0,0.01,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
97,3.1615384615384587,True,0.0,0.0,0.48,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
99,3.53086419753086,False,0.0,0.0,0.35,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
94,3.091200000000003,True,0.0,0.0,0.48,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
38,5.99032258064516,False,141338.02,0.0,0.16,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
504,1.908658536585363,False,0.0,5659.557,0.72,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
6335,3.55628024405639,True,0.0,0.0,0.02,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
29,3.99166666666667,False,0.0,0.0,0.15,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
141,3.383217391304349,False,0.0,0.0,0.26,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
19,5.9875,False,0.0,0.0,0.06,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,3.99166666666667,False,0.0,0.0,0.13,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
27,11.99,True,0.0,0.0,0.14,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15796,1.3374220374220367,True,194869.33,13760.152,0.41,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
123,1.683,False,0.0,0.0,0.01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
10113,13.281895206243034,True,0.0,0.0,0.8,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2196,3.17295632698768,False,0.0,0.0,0.04,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,3.98979591836735,False,184916.05,3920.0,0.15,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9408,2.6413734466971897,True,0.0,0.0,0.01,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
896,3.505639614855569,True,0.0,0.0,0.02,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
22731,3.0258817080524056,True,0.0,0.0,0.92,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,5.4884615384615385,False,0.0,0.0,0.14,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
102,3.603253012048197,False,0.0,0.0,0.52,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
18579,3.45751142166084,True,0.0,0.0,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9709,7.45091208512795,False,0.0,0.0,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2027,2.94290048543689,False,0.0,5659.557,0.03,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
30229,2.3062787314518416,True,0.0,0.0,0.58,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1038,7.44123222748815,False,0.0,0.0,0.13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
